3.87, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.88, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.90, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.91, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.92, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.93, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.94, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.96, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.97, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.98, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
3.99, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.00, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.01, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.03, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.04, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.05, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.06, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.08, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.09, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.10, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.11, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.12, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.14, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
 
4.15, 101.77921047896281, 0.09837889671325684, 0.0, 0.0, 0, 0.0
